Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
2013,NBA 2K14,Visual Concepts,,,Take-Two Interactive,6.,
2013,Call of Duty: Black Ops II,Treyarch,,,Activision Blizzard,7.,
2013,Just Dance 2014,"Ubisoft Paris, Ubisoft Millan",,,Ubisoft,8.,
2013,Minecraft,Mojang Studios,,,Mojang Studios,9.,
2013,Disney Infinity,Avalanche Software,,,Disney Interactive Studios,10.,
2014,Call of Duty: Advanced Warfare,Sledgehammer Games,,,Activision Blizzard,1.,
2014,Madden NFL 15,EA Tiburon,,,Electronic Arts,2.,
2014,Destiny,Bungie,,,Activision Blizzard,3.,
2014,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,4.,
2014,Minecraft,Mojang Studios,,,"Mojang Studios, Xbox Game Studios",5.,
2014,Super Smash Bros. for Wii U,"Bandai Namco Studios, Sora Ltd.",,,Nintendo,6.,
2014,NBA 2K15,Visual Concepts,,,Take-Two Interactive,7.,
2014,Watch Dogs,Ubisoft Montreal,,,Ubisoft,8.,
2014,FIFA 15,EA Vancouver,,,Electronic Arts,9.,
2014,Call of Duty: Ghosts,Infinity Ward,,,Activision Blizzard,10.,
2015,Call of Duty: Black Ops III,Treyarch,,,Activision Blizzard,1.,
2015,Madden NFL 16,EA Tiburon,,,Electronic Arts,2.,
2015,Fallout 4,Bethesda Game Studios,,,Bethesda Softworks,3.,
2015,Star Wars Battlefront,DICE,,,Electronic Arts,4.,
2015,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,5.,
2015,Minecraft,Mojang Studios,,,Xbox Game Studios,7.,
2015,FIFA 16,"EA Vancouver, EA Romania",,,Electronic Arts,8.,
2015,Mortal Kombat X,NetherRealm Studios,,,Warner Bros. Games,9.,
2015,Call of Duty: Advanced Warfare,Sledgehammer Games,,,Activision Blizzard,10.,
2016,Call of Duty: Infinite Warfare,Infinity Ward,,,Activision Blizzard,1.,
2016,Battlefield 1,DICE,,,Electronic Arts,2.,
2016,Tom Clancy's The Division,Massive Entertainment,,,Ubisoft,3.,
2016,NBA 2K17,Visual Concepts,,,Take-Two Interactive,4.,
2016,Madden NFL 17,EA Tiburon,,,Electronic Arts,5.,
2016,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,6.,
2016,Overwatch,Blizzard Entertainment,,,Activision Blizzard,7.,
2016,FIFA 17,"EA Vancouver, EA Romania",,,Electronic Arts,9.,
2016,Final Fantasy XV,Square Enix Business Division 2,,,Square Enix,10.,
2017,Call of Duty: WWII,Sledgehammer Games,,,Activision Blizzard,1.,
2017,NBA 2K18,Visual Concepts,,,Take-Two Interactive,2.,
2017,Destiny 2,Bungie,Digital sales incomplete,,Bungie,3.,
2017,Madden NFL 18,EA Tiburon,,,Electronic Arts,4.,
2017,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Digital sales not included,,Nintendo,5.,
2017,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,6.,
2017,Tom Clancy's Ghost Recon Wildlands,"Ubisoft Paris, Ubisoft Milan",,,Ubisoft,7.,
2017,Star Wars Battlefront II,DICE,Digital sales incomplete,,Electronic Arts,8.,
2017,Super Mario Odyssey,Nintendo EPD,Digital sales not included,,Nintendo,9.,
2018,Red Dead Redemption 2,Rockstar Games,,,Take-Two Interactive,1.,
2018,Call of Duty: Black Ops 4,Treyarch,PC sales not included,,Activision Blizzard,2.,
2018,NBA 2K19,Visual Concepts,,,Take-Two Interactive,3.,
2018,Madden NFL 19,EA Tiburon,PC sales not included,,Electronic Arts,4.,
2018,Super Smash Bros. Ultimate,"Bandai Namco Studios, Sora Ltd.",Digital sales not included,,Nintendo,5.,
2018,Marvel's Spider-Man,Insomniac Games,,,Sony Interactive Entertainment,6.,
2018,Far Cry 5,"Ubisoft Montreal, Ubisoft Toronto",,,Ubisoft,7.,
2018,God of War,Santa Monica Studio,,,Sony Interactive Entertainment,8.,
2018,Monster Hunter: World,Capcom,,,Capcom,9.,
2018,Assassin's Creed Odyssey,Ubisoft Quebec,,,Ubisoft,10.,
2019,Call of Duty: Modern Warfare,Infinity Ward,,,Activision Blizzard,1.,
2019,NBA 2K20,Visual Concepts,,,Take-Two Interactive,2.,
2019,Madden NFL 20,EA Tiburon,,,Electronic Arts,3.,
2019,Borderlands 3,Gearbox Software,,,Take-Two Interactive,4.,
2019,Mortal Kombat 11,NetherRealm Studios,,,Warner Bros. Games,5.,
2019,Star Wars Jedi: Fallen Order,Respawn Entertainment,,,Electronic Arts,6.,
2019,Super Smash Bros. Ultimate,"Bandai Namco Studios, Sora Ltd.",Digital sales not included,,Nintendo,7.,
