,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
6643,Auto Modellista,Capcom,2003-03-25,PS2,Racing,0.19,0.15,0.0,0.05,0.39,True
6644,Auto Modellista,Capcom,2003-09-30,PS2,Racing,0.19,0.15,0.0,0.05,0.39,True
6645,Auto Modellista,Capcom,2004-01-20,PS2,Racing,0.19,0.15,0.0,0.05,0.39,True
6646,Tom Clancy's Ghost Recon 2: Summit Strike,Ubisoft,2005-08-02,XB,Shooter,0.29,0.08,0.0,0.01,0.39,False
6647,Zone of the Enders HD Collection,Konami Digital Entertainment,2012-10-30,PS3,Simulation,0.21,0.08,0.09,0.05,0.43,False
6648,Zone of the Enders HD Collection,Konami,2012-12-31,PS3,Simulation,0.21,0.08,0.09,0.05,0.43,False
6649,SpongeBob vs The Big One: Beach Party Cook Off,THQ,2009-03-03,DS,Adventure,0.24,0.11,0.0,0.04,0.39,False
6650,Hooked! Again: Real Motion Fishing,Aksys Games,2009-11-03,Wii,Sports,0.36,0.0,0.0,0.03,0.39,False
6651,Tiger Woods PGA Tour 14,EA Sports,2013-03-26,PS3,Sports,0.16,0.15,0.0,0.07,0.39,False
6652,Get Fit with Mel B,Deep Silver,2010-10-20,PS3,Sports,0.15,0.17,0.0,0.07,0.38,False
6653,Get Fit with Mel B,Deep Silver,2011-09-14,PS3,Sports,0.15,0.17,0.0,0.07,0.38,False
6654,Airlock,Data Age,1982-01-01,2600,Action,0.36,0.02,0.0,0.0,0.39,False
6655,MotoGP 08,Capcom,2008-10-28,PS3,Racing,0.07,0.24,0.0,0.08,0.39,False
6656,Metal Gear Solid: Snake Eater 3D,Konami Digital Entertainment,2012-02-21,3DS,Action,0.15,0.11,0.1,0.02,0.38,False
6657,Metal Gear Solid: Snake Eater 3D,Konami,2012-02-21,3DS,Action,0.15,0.11,0.1,0.02,0.38,False
6658,Tokimeki Memorial 2,Konami,1999-11-25,PS,Simulation,0.0,0.0,0.36,0.03,0.39,False
6659,Tropico 5,Kalypso Media,2015-04-28,PS4,Simulation,0.05,0.16,0.05,0.04,0.3,False
6660,Tropico 5,Kalypso Media,2015-01-01,PS4,Simulation,0.05,0.16,0.05,0.04,0.3,False
6661,Tropico 5,Kalypso Media,2014-11-11,PS4,Simulation,0.05,0.16,0.05,0.04,0.3,False
6662,Tropico 5,Kalypso Media,2016-05-24,PS4,Simulation,0.05,0.16,0.05,0.04,0.3,False
6663,Tropico 5,Kalypso Media,2014-09-19,PS4,Simulation,0.05,0.16,0.05,0.04,0.3,False
6665,Evil Dead: Fistfull of Boomstick,THQ,2003-05-20,PS2,Action,0.19,0.15,0.0,0.05,0.38,True
6666,Evil Dead: Fistfull of Boomstick,THQ,2003-06-17,PS2,Action,0.19,0.15,0.0,0.05,0.38,True
6667,Dance Party: Pop Hits,Nordic Games,2009-05-08,Wii,Misc,0.0,0.36,0.0,0.02,0.39,False
6668,Triple Play 97,Electronic Arts,1996-06-24,PS,Sports,0.21,0.15,0.0,0.03,0.38,False
6669,Super Soccer,Nintendo,1992-05-01,SNES,Sports,0.0,0.0,0.38,0.0,0.38,False
6670,Super Soccer,Nintendo,1986-01-01,SNES,Sports,0.0,0.0,0.38,0.0,0.38,False
6671,Wario Land II (GBC),Nintendo,1999-03-02,GB,Platform,0.0,0.0,0.38,0.0,0.38,False
6672,Diner Dash: Sizzle & Serve,Eidos Interactive,2007-05-23,DS,Puzzle,0.34,0.03,0.0,0.03,0.4,False
6673,Diner Dash: Sizzle & Serve,Eidos Interactive,2007-05-22,DS,Puzzle,0.34,0.03,0.0,0.03,0.4,False
6674,GRID 2,Codemasters,2013-05-28,PS3,Racing,0.07,0.23,0.01,0.09,0.39,False
6675,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Human Entertainment,1998-06-25,PS,Racing,0.0,0.0,0.36,0.03,0.38,False
6676,Yoshi Touch & Go,Nintendo,2005-03-14,DS,Platform,0.34,0.02,0.0,0.03,0.39,False
6677,Wii Sports Club,Nintendo,2014-07-25,WiiU,Sports,0.19,0.14,0.04,0.03,0.4,False
6678,Naruto: Clash of Ninja Revolution 2,Tomy Corporation,2008-10-21,Wii,Fighting,0.34,0.02,0.0,0.03,0.39,False
6679,Looney Tunes: Acme Arsenal,Warner Bros. Interactive,2007-10-09,PS2,Action,0.19,0.15,0.0,0.05,0.38,True
6680,Junior Classic Games,Take-Two Interactive,2009-11-03,DS,Misc,0.26,0.09,0.0,0.03,0.39,False
6681,The Cat in the Hat,Jack of All Games,2005-04-26,GBA,Platform,0.27,0.1,0.0,0.01,0.38,False
6682,Raving Rabbids: Travel in Time 3D,Ubisoft,2011-04-10,3DS,Platform,0.11,0.23,0.0,0.04,0.38,False
6683,Jam Sessions: Sing and Play Guitar (US sales),Ubisoft,2007-09-11,DS,Misc,0.38,0.0,0.0,0.0,0.38,False
